OP_UNIQUE_CARRIER,FL_DATE_MONTH,DEP_HOUR,MKT_CARRIER_FL_NUM,OP_CARRIER_FL_NUM,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,YEAR OF MANUFACTURE,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
G4,4,13.108592001556875,1469.7131458596866,1469.7131458596866,14.048263111803056,20.442638902403424,123.22769290649022,911.0601342804321,0.009243942784859394,35.35732699727547,-90.95821666731536,773.2363530213097,2007.1114138367227,152.84917777561546,7.8065583341442055,4.792741072297363,9.179865719567967,14.827603386202199,6.156413350199474,58.13070059355843,28.607570302617496,4431.546171061594,1.0266614770847524,0.3901916901819597,0.23567188868346794,0.14148097693879536,1.7190814440011677,0.09146638123966137
G4,5,13.095870662135722,1456.7207290701267,1456.7207290701267,13.545978786942642,16.901143033673154,119.36402018329728,886.5014931520956,0.0056636803624755434,35.40663312099681,-91.43203281556997,801.2416846874678,2007.163937802492,145.24456801565236,6.8683966635773865,3.427350427350427,9.08880032952322,19.846953969725053,11.734340438677787,61.66832458037277,28.39281639378025,4528.194830604469,1.0745546287714962,0.42106889094840905,0.2431263515600865,0.17361754711152302,1.694470188446092,0.09906291834002677
G4,6,13.15259074288772,1481.3853562828858,1481.3853562828858,13.978596272184072,21.77008829037724,117.28119147418175,879.3288147685722,0.01302060108802283,35.440907653616335,-91.05226620431641,773.1207526977615,2007.220815125301,150.45482921608846,6.083563720681352,2.2649603139213412,9.390126638722911,23.820004459109963,15.270387942566662,61.613375546240974,28.958798715776332,4488.593596718095,1.0308570409346294,0.34638366182110053,0.28458039775260857,0.18050477124765896,1.4147864086328368,0.07990725051279765
G4,7,13.189694408322497,1461.3117685305592,1461.3117685305592,13.819408322496749,23.523163198959686,116.75902145643693,873.7031859557867,0.00942782834850455,35.45844991563719,-90.99840916002925,766.3211963589076,2007.2562581274383,143.60370611183356,5.5367360208062415,1.3762191157347203,9.349388816644995,25.367436605981794,17.97976511703511,65.23080461638492,28.88926040312094,4139.312418725618,1.1489759427828348,0.38442782834850453,0.3196521456436931,0.18376137841352405,1.5069895968790636,0.09492847854356307
G4,8,13.03748093266507,1353.9930268032251,1353.9930268032251,13.674547831771628,17.565373719764654,116.74046633253433,867.4899760296361,0.0062105033776421875,35.51873145990412,-91.55484903998692,808.7706471998257,2007.325561124428,132.60732185661365,5.160165613423404,0.9150141643059491,9.675773589017215,25.42899760296361,18.916646328176075,70.3646916539551,29.871793419045545,4385.552407932011,1.216278056221399,0.3983438657659621,0.34615384615384615,0.1900196121159294,1.5864022662889519,0.09185007626933972
G4,9,13.152742489911821,1155.3302944253476,1155.3302944253476,14.1522941264385,11.11343595875056,115.39904349125692,859.4335674787027,0.0037363622776864446,35.81565067000448,-93.61987744089075,960.497832909879,2007.3905245852638,131.9458974742191,5.036616350321327,1.2457031833806607,9.589127185771932,23.046723957554924,14.96384098042146,65.89726647735765,29.83247646091765,3918.03915707667,0.9651771035719623,0.3419518756538634,0.28007771633537587,0.11657450306381707,1.396353310416978,0.09340905694216112
G4,10,13.168411037107516,1275.23917697431,1275.23917697431,13.646646051379639,12.178044719314938,119.97419124643197,892.1226213130352,0.001308277830637488,35.618661905804,-92.07748420730256,860.285204567079,2007.3684586108468,141.98977164605137,5.776879162702189,1.9705042816365366,9.500035680304473,16.32605137963844,8.319919124643198,62.222658182683155,29.372704567078973,4589.331588962892,0.8244529019980971,0.2739058039961941,0.23441960038058993,0.14652711703139867,1.3200523311132255,0.054590865842055185
G4,11,13.186693396817441,1297.5486781105124,1297.5486781105124,14.46309986217266,18.21087583009648,122.67309860919684,900.6205989224408,0.0011276782358100488,35.53973029770705,-91.9693510522491,860.1598797143215,2007.5342688886105,149.51296829971182,6.585014409221902,2.8417491542413233,9.008407467735873,10.552126299962412,4.1616990352086205,65.78657937601804,29.2496504197469,4450.14409221902,0.9693020924696153,0.4050870818193209,0.1970930961032452,0.14334043352963288,1.7477759679238192,0.12103746397694524
G4,12,13.231837065558821,1339.1439862194752,1339.1439862194752,15.709393048941129,25.66531563481609,124.3808896544736,912.4918431452021,0.0088154828250076,35.51593396362347,-91.80614818441585,857.0120579592664,2007.9195460532983,154.27702908096057,6.482825007599554,2.2593981153105687,8.881016313709596,6.653993312392339,1.4828493261728646,71.31456682541291,29.88192116729152,4356.267098996859,1.0261424663086431,0.44695511196676463,0.21673928462863512,0.1342587901509778,2.0592765224440166,0.17114195967169926
G7,1,13.386845976045388,4438.439798276949,4438.439798276949,23.992645513763396,17.693212859844504,63.18827484765707,368.4631225047279,0.002311409960075646,40.23834648539609,-78.6794750029418,306.91006513973525,2004.405337255726,201.05064089094347,8.535826854381172,4.622189535616727,9.213748686698887,-1.99007774742593,-8.26790712334524,64.07496953141417,30.060872031939482,7661.483504938013,1.5732296700987602,0.5129228829586048,0.3681445681865938,0.34166841773481826,2.5887791552847235,0.15507459550325697
G7,2,13.394284438490734,4448.795490064746,4448.795490064746,23.205849519982138,21.65974547890154,62.32373297611074,358.2906898861353,0.0035722259432909133,40.13846263630274,-78.74010098414826,309.3744139316812,2004.4701942397858,185.32261665550345,8.615092654610404,5.32261665550346,9.12826523777629,1.890997990622907,-5.064128153605716,63.07212100915383,30.15967626702389,7184.527796383121,1.4349185085956686,0.48492967180174146,0.3052020540299174,0.3212770707747265,2.3081044876088415,0.17459254297834337
G7,3,13.419898159028595,4433.127105366236,4433.127105366236,23.64198981590286,13.619663141402272,60.83999216607912,344.59420289855075,0.0017626321974148062,40.059439316490405,-77.91087095260478,284.54386995691345,2004.3963963963963,186.48844496670583,8.875048962005483,6.238542890716804,9.113721112416766,7.178301997649824,-1.2213689776733256,58.42620054837446,29.8854857030944,7960.262436349393,1.54524089306698,0.4768899334116725,0.3936545240893067,0.381511946729338,2.572463768115942,0.1535448491970231
G7,4,12.939353400222965,4439.231884057971,4439.111928651059,23.524191750278707,12.926421404682275,59.33266443701226,336.0497212931996,0.0035674470457079154,40.111205014046824,-77.88384030167225,285.66577480490525,2004.536900780379,188.7313266443701,8.823634336677815,6.5489409141583055,9.539212931995541,11.04105016722408,1.774896321070234,56.80939130434783,29.77885172798216,7741.13712374582,1.527536231884058,0.4664437012263099,0.4033444816053512,0.31638795986622076,2.479598662207358,0.11616499442586399
G7,5,12.953760920519922,4423.831451097379,4422.852759428937,24.702748774770935,20.467078627743447,58.72597485616876,335.6776049435329,0.002770083102493075,40.07421289942468,-78.46621103409333,316.52759428936713,2004.448753462604,136.43511613040698,7.378222885148093,3.193266567227786,9.000178989985084,17.980833155763904,10.781909226507565,65.67265075644578,29.75210100149158,6625.015981248668,1.6678031110164073,0.5612614532282122,0.37566588536117623,0.3643724696356275,2.5951417004048585,0.17579373535052206
G7,6,12.937432810148355,4424.27327456461,4426.916577080197,22.940657923027306,17.613201462051173,58.33541173941088,334.5953558374543,0.0053751881315846056,40.06201790109654,-78.50807264222748,304.22683293915287,2004.5459041066438,171.1309395828854,6.854009890346162,3.219522683293915,9.653031606106214,22.562016770586972,13.853646527628467,60.663756181466354,29.743186411524402,7567.641367447861,1.7138249838744357,0.44076542678993763,0.4697914427004945,0.4710814878520748,2.194366802838099,0.07267254353902386
G7,7,12.71685878962536,4415.897454370797,4415.897454370797,23.026416906820366,12.789625360230547,56.22070124879923,318.8016330451489,0.003121998078770413,40.09474263160423,-77.88648556580212,265.45365033621516,2004.4807877041305,163.74399615754083,6.336695485110471,1.8381364073006725,9.644721421709894,25.436085494716618,17.582000480307396,63.60007204610951,29.5384558117195,7174.519692603266,1.9870317002881845,0.45244956772334294,0.5898174831892411,0.5449087415946205,2.3061959654178676,0.06508165225744476
G7,8,12.661526794742164,4413.497472194135,4412.967896865521,23.573811931243682,16.60768452982811,54.358442871587464,303.9643579373104,0.007077856420626896,40.003432033872606,-77.34115448761375,240.17972699696662,2004.2125884732052,165.21562184024268,5.981294236602629,1.7158746208291202,9.778058645096056,24.77865520728008,17.694997472194135,67.75965369059656,29.998983822042465,6560.161779575328,1.916582406471183,0.5434782608695652,0.5199696663296259,0.4896359959555106,2.2156218402426693,0.05813953488372093
